Business Name,Email,Phone,Fax,Web Site,City,Latitude,Longitude
Ellipsis Energy Inc,Ricky.Munch@ellipsisenergy.ca,403-620-2946,,http://www.ellipsisenergy.ca,Moberly Lake ,55.8193701,-121.8346022
Indigenous Community Development & Prosperity (ICDPRO),ngela@ICDPRO.ca,780-717-8296,,https://indigenouscommunitydevelopment.com/,Enderby,50.5514976,-119.1335465
Formline Construction Ltd.,marty@flcon.ca,778-222-0069,,https://www.flcon.ca/,Burnaby,49.2660502,123.0058404
Quilakwa Investments Ltd.,nik.visch@quilakwa.ca,250-838-0775 x131,,http://www.splatsindc.com,Enderby,50.5375073,-119.141955
Quilakwa Esso,stephanie.killman@quilakwa.ca,250-838-9422,250-838-2378,,Enderby,50.5375073,-119.141955
Quilakwa RV Park,rvpark@quilakwa.ca,250-838-2022,, http://www.quilakwarvpark.ca,Enderby,50.5514976,-119.1335465
Quilakwa at the Lake Campground,rvpark@quilakwa.ca,250-838-2022,,http://www.quilakwarvpark.ca,Enderby,50.6024166,-118.7306577
Quilakwa Snack Shack,nik.visch@quilakwa.ca,250-838-0775 x131,,,Enderby,50.5495973,-119.1398143
dk Architecture, info@dkarchitecture.ca,604-210-1278,,http://dkarchitecture.ca,North Vancouver,49.3234992,-123.1229699
Uujo Contracting Limited Partnership,cpoucecoupe@uujodev.com,250-262-8756,,,Rose Prairie,56.5780801,-120.4982582
Shop First Nations,info@shopfirstnations.com,778-773-3392,,https://shopfirstnations.com/,New Westminster,49.2000155,-122.9139201
Kleekhoot Gold,bryanread@shaw.ca,250-724-4041,,https://kleekhootgold.ca/,Port Alberni,49.2660405,-124.8275668
Upnit Power,bcasavant@hotmail.com,250-735-7992,,,Port Alberni,49.1901565,-124.7538602
Kwa'lilas Hotel,marketing@kedc.ca,855-949-8525,,https://kwalilashotel.ca/,Port Hardy,50.721863,-127.5028344
Fourwinds Driving School, fourwinds_drive@outlook.com,250-398-0744,,http://www.fourwindsdrive.com,Williams Lake,52.1326353,-122.1473917
United Greeneries Ltd.,pfloucault@costacanna.ca,250-265-7076,,unitedgreeneries.ca/,Duncan,48.7626366,-123.6876387
Costa Canna,pfloucault@costacanna.ca,250-265-7076,,costacanna.ca/,Duncan,48.7752139,-123.7032251
Gitanmaax Market,management@gitanmaaxmarket.com,250-842-6688,,,Kispiox,55.2618209,-127.6775806
Gitanmaax Food & Fuel,manager@gitanmaaxfuel.com,250-842-5567,250-842-6256,,Kispiox,55.2572438,-127.6636951
ALL-BRITE CLEANING,allbritecleaning@shaw.ca,250-480-5234,,allbritecleaning.ca,Victoria ,48.4811334,-123.3809683
Cayuse Flats Transportation,admin@cayuseflats.com,250-256-7155,,www.cayuseflats.com, Lillooet ,50.5959084,-122.001815
Steeprock Resources Limited,chief@kellylakecreenation.com,780-518-3439,,,Pouce Coupe,55.6466769,-120.4512142
RidgePro Painting,jen0595@shaw.ca,778-838-5654,,http://www.ridgepropainting.ca,Maple Ridge,49.2024937,-122.5647468
