RG_NAME,PHONE_NUMBER,WEBSITE,WHEELCHAIR_ACCESSIBLE,LATITUDE,LONGITUDE
Kerrisdale Medical Clinic,6042619494,https://wellclinics.ca/properties/kerrisdale-medical-clinic/,Y,49.233569,-123.154106
Abbotsford Village Medical Clinic,6045047145,https://www.abbotsfordvillagemedical.com/,Y,49.038729,-122.269714
Spectrum Medical,6048466246,https://spectrumbc.ca/,Y,49.123775,-121.958316
PrimeCare Medical Centre,6045193767,https://www.primecaremedicalcentre.com/walkin-clinic,Y,49.218846,-122.951615
Valleyview Treatment Centre,2507439395,,Y,48.710695,-123.607747
West Coast Urgent Care Clinic,7784211219,,Y,49.263571,-124.792035
Saanich Plaza Medical Clinic,2504751101,https://www.saanichplazamedicalclinic.ca/walk-in-clinic,Y,48.456348,-123.374168
Hillside Medical Clinic,2505924212,https://www.jacknathanhillsidemedical.com/,Y,48.447451,-123.334809
Commercial Drive Medical Clinic,6042555922,,Y,49.271111,-123.069667
Denning Health Group,6049510885,https://denninghealth.ca/find-a-doctor/,Y,49.186983,-122.845564
Denning Health Group,6045430888,https://denninghealth.ca/find-a-doctor/,Y,49.161098,-122.888604
Denning Health Group,6045843531,https://denninghealth.ca/find-a-doctor/,Y,49.176233,-122.865951
Denning Health Group,6049400917,https://denninghealth.ca/find-a-doctor/,Y,49.09023,-123.080931
Denning Health Group,6045888181,https://denninghealth.ca/find-a-doctor/,Y,49.16545,-122.800771
Whistler 360 Health,6049323977,https://www.whistler360health.org/,Y,50.120046,-122.955147
University Village Medical,6042222273,http://www.universityvillageclinic.com/medical.html,Y,49.266463,-123.242117
University Village Medical,6042222273,http://www.universityvillageclinic.com/medical.html,Y,49.253464,-123.235533
Sullivan Medical Clinic,6043036342,http://www.sullivanmedicalclinic.com/services/,Y,49.104505,-122.798666
Shoreline Medical,2506564143,https://shorelinemedical.ca/,Y,48.647652,-123.401503
Shoreline Medical,2506529191,https://shorelinemedical.ca/,Y,48.577122,-123.446966
Burnside Family Medical Clinic,2503814353,https://www.burnsideclinic.ca/,Y,48.45081,-123.387382
Archway Community Services,6047463392,https://archway.ca/program/abbotsford-youth-health-centre/,Y,49.053349,-122.32308
Hillside Medical Clinic,2507636322,https://evolvealliedhealth.ca/clinics/kelowna-glenmore/,Y,49.901555,-119.453356
Northern Health,2505669138,https://www.northernhealth.ca/find-a-facility/medical-clinics/valemount-health-centre,Y,52.83206,-119.270254
Northern Health,2506517677,https://www.northernhealth.ca/find-a-facility/medical-clinics/atlin-primary-care-clinic,Y,59.574828,-133.704315
Northern Health,2506264702,https://www.northernhealth.ca/find-a-facility/health-units/masset-community-health,Y,54.012317,-132.151708
Canway Medical Centre,6044288123,https://www.canwaymedicalcentre.ca/,Y,49.254122,-122.98946
Care Point Medical and Wellness Clinics,6042545554,https://carepoint.ca/book-appointment,Y,49.270184,-123.069821
Care Point Medical and Wellness Clinics,6044360800,https://carepoint.ca/book-appointment,Y,49.237824,-123.03206
Care Point Medical and Wellness Clinics,6049159517,https://carepoint.ca/book-appointment,Y,49.280813,-123.131466
Murals Medical Clinic,6045329944,,Y,49.090915,-122.606243
Ancron Medical Centre,2503529144,https://ancronmedical.com/walk-in-clinic/,Y,49.491628,-117.294835
Kootenay Lake Medical Clinic,2503524666,https://www.kootenaylakemedical.com/,Y,49.498677,-117.291323
Medical Arts Centre,2507533431,https://medicalartscentre.com/walk-in-clinic/,Y,49.163972,-123.934996
North Okanagan Medical Clinic,2505458338,,Y,50.28729,-119.270357
Mount Ida Medical Centre,2508331990,,Y,50.699561,-119.287604
Nechako Medical Clinic,2506456900,https://www.facebook.com/people/Nechako-Medical-Clinic/100046139242355/,Y,53.910359,-122.7609
Orchard Medical Centre,2508613235,https://divisionsbc.ca/central-okanagan/family-physicians/family-practice/orchard-medical-centre,Y,49.877565,-119.443356
Oak Bay Medical Clinic,2505986744,https://www.oakbaymedicalclinic.com/,Y,48.426478,-123.334374
West Kelowna Medical Clinic,2507686985,https://www.westkelownamedical.com/walk-in-clinic,Y,49.841992,-119.610073
Sicamous Medical Clinic,2508362817,,Y,50.836895,-118.98931
Apple Plaza Walk-in Clinic,2504935228,,Y,49.478033,-119.583924
Lakeshore Medical Centre,2507648878,https://divisionsbc.ca/central-okanagan/family-physicians/family-practice/family-practice-clinics/lakeshore-medical-clinic,Y,49.881024,-119.431768
Salmon Arm Medical Clinic,2508326092,,Y,50.703316,-119.278208
Granville Medical Clinic,6047334700,,Y,49.262912,-123.138565
Quinsam Medical Group,7784183888,https://www.quinsammedicalgroup.com/,Y,49.973673,-125.245769
Fairfield Medical Treatment Centre,2505923496,,Y,48.432404,-123.322827
Yaletown Medical Clinic,6046332474,http://www.yaletownmedicalclinic.ca/,Y,49.273447,-123.12342
